Xe, Dieterici eos, values of parameters a and b are close to those in Table 12
Dieterici
   10. 0.001
temp  200.000 K
cm^3/mol torr
    6.54682677165354E+03    1.82995666103849E+03
    6.52115294117647E+03    1.83542180148746E+03
    6.49567968750000E+03    1.84385515047636E+03
    6.47040466926070E+03    1.84919319728940E+03
    6.44532558139535E+03    1.85597526909602E+03
    6.42044015444015E+03    1.86293393294418E+03
    6.39574615384615E+03    1.87083817293237E+03
    6.37124137931035E+03    1.87667166560532E+03
    6.34692366412214E+03    1.88413195057645E+03
    6.32279087452472E+03    1.89076064822163E+03
    6.29884090909091E+03    1.89761963346123E+03
    6.27507169811321E+03    1.90532762181499E+03
    6.25148120300752E+03    1.91171293887115E+03
    6.22806741573034E+03    1.91845658761498E+03
    6.20482835820896E+03    1.92576498008264E+03
    6.18176208178439E+03    1.93227834071719E+03
    6.15886666666667E+03    1.94020371647030E+03
    6.13614022140221E+03    1.94697822730813E+03
    6.11358088235294E+03    1.95283561620266E+03
    6.09118681318681E+03    1.96056028635585E+03
    6.06895620437956E+03    1.96649962897474E+03
    6.04688727272727E+03    1.97399950266095E+03
    6.02497826086957E+03    1.97980331355168E+03
    6.00322743682310E+03    1.98657684620649E+03
    5.98163309352518E+03    1.99465400133515E+03
    5.96019354838710E+03    2.00153535161432E+03
    5.93890714285714E+03    2.00765084576396E+03
    5.91777224199288E+03    2.01544579703103E+03
    5.89678723404255E+03    2.02087826275533E+03
    5.87595053003534E+03    2.02927406787346E+03
    5.85526056338028E+03    2.03530637340317E+03
    5.83471578947368E+03    2.04319368908257E+03
    5.81431468531469E+03    2.04967996326351E+03
    5.79405574912892E+03    2.05686971039730E+03
    5.77393750000000E+03    2.06323316338050E+03
    5.75395847750865E+03    2.07039368410117E+03
    5.73411724137931E+03    2.07695689542183E+03
    5.71441237113402E+03    2.08237176694368E+03
    5.69484246575343E+03    2.08975117092814E+03
    5.67540614334471E+03    2.09750653311235E+03
    5.65610204081633E+03    2.10298170941149E+03
    5.63692881355932E+03    2.11005375435378E+03
    5.61788513513513E+03    2.11643051932478E+03
    5.59896969696970E+03    2.12414700577222E+03
    5.58018120805369E+03    2.13083483380202E+03
    5.56151839464883E+03    2.13805605513367E+03
    5.54298000000000E+03    2.14557633969741E+03
    5.52456478405316E+03    2.15146048700577E+03
    5.50627152317881E+03    2.15846877157724E+03
    5.48809900990099E+03    2.16423607563105E+03
    5.47004605263158E+03    2.17104385933741E+03
    5.45211147540984E+03    2.17830100395195E+03
    5.43429411764706E+03    2.18546204064248E+03
    5.41659283387622E+03    2.19194724205918E+03
    5.39900649350649E+03    2.19918249463865E+03
    5.38153398058252E+03    2.20528741578976E+03
    5.36417419354839E+03    2.21239131202673E+03
